questionId,questionTitle,content,difficulty,totalAccepted,totalSubmission,acRate,categoryTitle,likes,translatedTitle,translatedContent
1,Two Sum,"Given an array of integers, return indices of the two numbers such that they add up to a specific target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

Example:


Given nums = [2, 7, 11, 15], target = 9,

Because nums[0] + nums[1] = 2 + 7 = 9,
return [0, 1].

",Easy,1179287,2411098,48.9%,Algorithms,8576,两数之和,"给定一个整数数组 nums 和一个目标值 target，请你在该数组中找出和为目标值的那 两个 整数，并返回他们的数组下标。
你可以假设每种输入只会对应一个答案。但是，数组中同一个元素不能使用两遍。
 
示例:
给定 nums = [2, 7, 11, 15], target = 9
因为 nums[0] + nums[1] = 2 + 7 = 9
所以返回 [0, 1]
"
2,Add Two Numbers,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order and each of their nodes contain a single digit. Add the two numbers and return it as a linked list.

You may assume the two numbers do not contain any leading zero, except the number 0 itself.

Example:


Input: (2 -> 4 -> 3) + (5 -> 6 -> 4)
Output: 7 -> 0 -> 8
Explanation: 342 + 465 = 807.

",Medium,467429,1239593,37.7%,Algorithms,4544,两数相加,"给出两个 非空 的链表用来表示两个非负的整数。其中，它们各自的位数是按照 逆序 的方式存储的，并且它们的每个节点只能存储 一位 数字。
如果，我们将这两个数相加起来，则会返回一个新的链表来表示它们的和。
您可以假设除了数字 0 之外，这两个数都不会以 0 开头。
示例：
输入：(2 -> 4 -> 3) + (5 -> 6 -> 4)
输出：7 -> 0 -> 8
原因：342 + 465 = 807
"
3,Longest Substring Without Repeating Characters,"Given a string, find the length of the longest substring without repeating characters.


Example 1:


Input: ""abcabcbb""
Output: 3 
Explanation: The answer is ""abc"", with the length of 3. 



Example 2:


Input: ""bbbbb""
Output: 1
Explanation: The answer is ""b"", with the length of 1.



Example 3:


Input: ""pwwkew""
Output: 3
Explanation: The answer is ""wke"", with the length of 3. 
             Note that the answer must be a substring, ""pwke"" is a subsequence and not a substring.




",Medium,551133,1576459,35.0%,Algorithms,3918,无重复字符的最长子串,"给定一个字符串，请你找出其中不含有重复字符的 最长子串 的长度。
示例 1:
输入: ""abcabcbb""
输出: 3 
解释: 因为无重复字符的最长子串是 ""abc""，所以其长度为 3。
示例 2:
输入: ""bbbbb""
输出: 1
解释: 因为无重复字符的最长子串是 ""b""，所以其长度为 1。
示例 3:
输入: ""pwwkew""
输出: 3
解释: 因为无重复字符的最长子串是 ""wke""，所以其长度为 3。
     请注意，你的答案必须是 子串 的长度，""pwke"" 是一个子序列，不是子串。
"
4,Median of Two Sorted Arrays,"There are two sorted arrays nums1 and nums2 of size m and n respectively.

Find the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).

You may assume nums1 and nums2 cannot be both empty.

Example 1:


nums1 = [1, 3]
nums2 = [2]

The median is 2.0


Example 2:


nums1 = [1, 2]
nums2 = [3, 4]

The median is (2 + 3)/2 = 2.5

",Hard,218703,570697,38.3%,Algorithms,2857,寻找两个正序数组的中位数,"给定两个大小为 m 和 n 的正序（从小到大）数组 nums1 和 nums2。
请你找出这两个正序数组的中位数，并且要求算法的时间复杂度为 O(log(m + n))。
你可以假设 nums1 和 nums2 不会同时为空。
 
示例 1:
nums1 = [1, 3]
nums2 = [2]
则中位数是 2.0
示例 2:
nums1 = [1, 2]
nums2 = [3, 4]
则中位数是 (2 + 3)/2 = 2.5
"
5,Longest Palindromic Substring,"Given a string s, find the longest palindromic substring in s. You may assume that the maximum length of s is 1000.

Example 1:


Input: ""babad""
Output: ""bab""
Note: ""aba"" is also a valid answer.


Example 2:


Input: ""cbbd""
Output: ""bb""

",Medium,308517,996465,31.0%,Algorithms,2388,最长回文子串,"给定一个字符串 s，找到 s 中最长的回文子串。你可以假设 s 的最大长度为 1000。
示例 1：
输入: ""babad""
输出: ""bab""
注意: ""aba"" 也是一个有效答案。
示例 2：
输入: ""cbbd""
输出: ""bb""
"
6,ZigZag Conversion,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)


P   A   H   N
A P L S I I G
Y   I   R


And then read line by line: ""PAHNAPLSIIGYIR""

Write the code that will take a string and make this conversion given a number of rows:


string convert(string s, int numRows);

Example 1:


Input: s = ""PAYPALISHIRING"", numRows = 3
Output: ""PAHNAPLSIIGYIR""


Example 2:


Input: s = ""PAYPALISHIRING"", numRows = 4
Output: ""PINALSIGYAHRPI""
Explanation:

P     I    N
A   L S  I G
Y A   H R
P     I
",Medium,143516,297590,48.2%,Algorithms,731,Z 字形变换,"将一个给定字符串根据给定的行数，以从上往下、从左到右进行 Z 字形排列。
比如输入字符串为 ""LEETCODEISHIRING"" 行数为 3 时，排列如下：
L   C   I   R
E T O E S I I G
E   D   H   N
之后，你的输出需要从左往右逐行读取，产生出一个新的字符串，比如：""LCIRETOESIIGEDHN""。
请你实现这个将字符串进行指定行数变换的函数：
string convert(string s, int numRows);
示例 1:
输入: s = ""LEETCODEISHIRING"", numRows = 3
输出: ""LCIRETOESIIGEDHN""
示例 2:
输入: s = ""LEETCODEISHIRING"", numRows = 4
输出: ""LDREOEIIECIHNTSG""
解释:
L     D     R
E   O E   I I
E C   I H   N
T     S     G
"
7,Reverse Integer,"Given a 32-bit signed integer, reverse digits of an integer.

Example 1:


Input: 123
Output: 321


Example 2:


Input: -123
Output: -321


Example 3:


Input: 120
Output: 21


Note:

Assume we are dealing with an environment which could only store integers within the 32-bit signed integer range: [231,  231  1]. For the purpose of this problem, assume that your function returns 0 when the reversed integer overflows.
",Easy,393796,1144850,34.4%,Algorithms,1992,整数反转,"给出一个 32 位的有符号整数，你需要将这个整数中每位上的数字进行反转。
示例 1:
输入: 123
输出: 321
 示例 2:
输入: -123
输出: -321
示例 3:
输入: 120
输出: 21
注意:
假设我们的环境只能存储得下 32 位的有符号整数，则其数值范围为 [231,  231  1]。请根据这个假设，如果反转后整数溢出那么就返回 0。
"
8,String to Integer (atoi),"Implement atoi which converts a string to an integer.

The function first discards as many whitespace characters as necessary until the first non-whitespace character is found. Then, starting from this character, takes an optional initial plus or minus sign followed by as many numerical digits as possible, and interprets them as a numerical value.

The string can contain additional characters after those that form the integral number, which are ignored and have no effect on the behavior of this function.

If the first sequence of non-whitespace characters in str is not a valid integral number, or if no such sequence exists because either str is empty or it contains only whitespace characters, no conversion is performed.

If no valid conversion could be performed, a zero value is returned.

Note:


	Only the space character ' ' is considered as whitespace character.
	Assume we are dealing with an environment which could only store integers within the 32-bit signed integer range: [231,  231  1]. If the numerical value is out of the range of representable values, INT_MAX (231  1) or INT_MIN (231) is returned.


Example 1:


Input: ""42""
Output: 42


Example 2:


Input: ""   -42""
Output: -42
Explanation: The first non-whitespace character is '-', which is the minus sign.
             Then take as many numerical digits as possible, which gets 42.


Example 3:


Input: ""4193 with words""
Output: 4193
Explanation: Conversion stops at digit '3' as the next character is not a numerical digit.


Example 4:


Input: ""words and 987""
Output: 0
Explanation: The first non-whitespace character is 'w', which is not a numerical 
             digit or a +/- sign. Therefore no valid conversion could be performed.

Example 5:


Input: ""-91283472332""
Output: -2147483648
Explanation: The number ""-91283472332"" is out of the range of a 32-bit signed integer.
             Thefore INT_MIN (231) is returned.
",Medium,177570,859592,20.7%,Algorithms,741,字符串转换整数 (atoi),"请你来实现一个 atoi 函数，使其能将字符串转换成整数。
首先，该函数会根据需要丢弃无用的开头空格字符，直到寻找到第一个非空格的字符为止。接下来的转化规则如下：
	如果第一个非空字符为正或者负号时，则将该符号与之后面尽可能多的连续数字字符组合起来，形成一个有符号整数。
	假如第一个非空字符是数字，则直接将其与之后连续的数字字符组合起来，形成一个整数。
	该字符串在有效的整数部分之后也可能会存在多余的字符，那么这些字符可以被忽略，它们对函数不应该造成影响。
注意：假如该字符串中的第一个非空格字符不是一个有效整数字符、字符串为空或字符串仅包含空白字符时，则你的函数不需要进行转换，即无法进行有效转换。
在任何情况下，若函数不能进行有效的转换时，请返回 0 。
提示：
	本题中的空白字符只包括空格字符 ' ' 。
	假设我们的环境只能存储 32 位大小的有符号整数，那么其数值范围为 [231,  231  1]。如果数值超过这个范围，请返回  INT_MAX (231  1) 或 INT_MIN (231) 。
 
示例 1:
输入: ""42""
输出: 42
示例 2:
输入: ""   -42""
输出: -42
解释: 第一个非空白字符为 '-', 它是一个负号。
     我们尽可能将负号与后面所有连续出现的数字组合起来，最后得到 -42 。
示例 3:
输入: ""4193 with words""
输出: 4193
解释: 转换截止于数字 '3' ，因为它的下一个字符不为数字。
示例 4:
输入: ""words and 987""
输出: 0
解释: 第一个非空字符是 'w', 但它不是数字或正、负号。
     因此无法执行有效的转换。
示例 5:
输入: ""-91283472332""
输出: -2147483648
解释: 数字 ""-91283472332"" 超过 32 位有符号整数范围。 
     因此返回 INT_MIN (231) 。
"
9,Palindrome Number,"Determine whether an integer is a palindrome. An integer is a palindrome when it reads the same backward as forward.

Example 1:


Input: 121
Output: true


Example 2:


Input: -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.


Example 3:


Input: 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.


Follow up:

Coud you solve it without converting the integer to a string?
",Easy,384018,657732,58.4%,Algorithms,1133,回文数,"判断一个整数是否是回文数。回文数是指正序（从左向右）和倒序（从右向左）读都是一样的整数。
示例 1:
输入: 121
输出: true
示例 2:
输入: -121
输出: false
解释: 从左向右读, 为 -121 。 从右向左读, 为 121- 。因此它不是一个回文数。
示例 3:
输入: 10
输出: false
解释: 从右向左读, 为 01 。因此它不是一个回文数。
进阶:
你能不将整数转为字符串来解决这个问题吗？
"
10,Regular Expression Matching,"Given an input string (s) and a pattern (p), implement regular expression matching with support for '.' and '*'.
'.' Matches any single character.
'*' Matches zero or more of the preceding element.
The matching should cover the entire input string (not partial).
Note:
	s could be empty and contains only lowercase letters a-z.
	p could be empty and contains only lowercase letters a-z, and characters like . or *.
Example 1:
Input:
s = ""aa""
p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".
Example 2:
Input:
s = ""aa""
p = ""a*""
Output: true
Explanation: '*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".
Example 3:
Input:
s = ""ab""
p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".
Example 4:
Input:
s = ""aab""
p = ""c*a*b""
Output: true
Explanation: c can be repeated 0 times, a can be repeated 1 time. Therefore, it matches ""aab"".
Example 5:
Input:
s = ""mississippi""
p = ""mis*is*p*.""
Output: false
",Hard,96714,324837,29.8%,Algorithms,1362,正则表达式匹配,"给你一个字符串 s 和一个字符规律 p，请你来实现一个支持 '.' 和 '*' 的正则表达式匹配。
'.' 匹配任意单个字符
'*' 匹配零个或多个前面的那一个元素
所谓匹配，是要涵盖 整个 字符串 s的，而不是部分字符串。
说明:
	s 可能为空，且只包含从 a-z 的小写字母。
	p 可能为空，且只包含从 a-z 的小写字母，以及字符 . 和 *。
示例 1:
输入:
s = ""aa""
p = ""a""
输出: false
解释: ""a"" 无法匹配 ""aa"" 整个字符串。
示例 2:
输入:
s = ""aa""
p = ""a*""
输出: true
解释: 因为 '*' 代表可以匹配零个或多个前面的那一个元素, 在这里前面的元素就是 'a'。因此，字符串 ""aa"" 可被视为 'a' 重复了一次。
示例 3:
输入:
s = ""ab""
p = "".*""
输出: true
解释: "".*"" 表示可匹配零个或多个（'*'）任意字符（'.'）。
示例 4:
输入:
s = ""aab""
p = ""c*a*b""
输出: true
解释: 因为 '*' 表示零个或多个，这里 'c' 为 0 个, 'a' 被重复一次。因此可以匹配字符串 ""aab""。
示例 5:
输入:
s = ""mississippi""
p = ""mis*is*p*.""
输出: false
"
